,annee,code,nom,conso,dept
0,2019,92048,meudon,3.058,92
91,2019,78401,meulan-en-yvelines,4.15,78
101,2019,45203,meung-sur-loire,4.759,45
103,2019,62573,meurchin,5.388,62
104,2019,01244,meximieux,5.638,1
110,2019,38229,meylan,3.993,38
152,2019,19136,meymac,4.15,19
153,2019,38230,meyrié,6.69,38
154,2019,69282,meyzieu,4.693,69
195,2019,74183,mieussy,5.485,74
196,2019,89257,migennes,3.646,89
203,2019,30169,milhaud,5.757,30
205,2019,12145,millau,3.563,12
230,2019,69133,millery,7.013,69
232,2019,91405,milly-la-forêt,6.947,91
233,2019,40184,mimizan,4.184,40
240,2019,69283,mions,5.415,69
250,2019,13063,miramas,4.581,13
269,2019,21416,mirebeau-sur-bèze,4.867,21
270,2019,88304,mirecourt,3.536,88
271,2019,64386,mirepeix,5.564,64
272,2019,01249,miribel,4.641,1
280,2019,77293,misy-sur-yonne,5.969,77
281,2019,77294,mitry-mory,4.391,77
286,2019,73157,modane,3.795,73
290,2019,38239,moirans,5.112,38
292,2019,39333,moirans-en-montagne,4.426,39
293,2019,82112,moissac,5.204,82
296,2019,95409,moisselles,4.822,95
297,2019,77296,moissy-cramayel,4.52,77
315,2019,30171,molières-sur-cèze,4.528,30
316,2019,57474,mondelange,3.721,57
318,2019,14437,mondeville,3.145,14
331,2019,31351,mondonville,5.142,31
340,2019,84078,mondragon,6.998,84
341,2019,64393,monein,5.442,64
342,2019,43137,monistrol-sur-loire,4.931,43
343,2019,59410,mons-en-baroeul,2.731,59
365,2019,76443,mont-cauvaire,6.486,76
366,2019,63236,mont-dore,3.028,63
372,2019,76451,mont-saint-aignan,3.853,76
404,2019,74189,mont-saxonnex,4.992,74
405,2019,40192,mont-de-marsan,4.17,40
423,2019,54380,mont-le-vignoble,7.105,54
424,2019,34162,montagnac,5.214,34
427,2019,69136,montagny,7.548,69
428,2019,38247,montalieu-vercieu,6.534,38
429,2019,45208,montargis,2.912,45
458,2019,31358,montastruc-la-conseillère,7.313,31
459,2019,82121,montauban,4.798,82
504,2019,35184,montauban-de-bretagne,5.252,35
506,2019,21425,montbard,3.293,21
515,2019,34165,montbazin,6.648,34
516,2019,34166,montblanc,6.625,34
517,2019,38249,montbonnot-saint-martin,4.831,38
525,2019,42147,montbrison,3.926,42
539,2019,25388,montbéliard,2.613,25
578,2019,71306,montceau-les-mines,3.03,71
597,2019,71310,montchanin,4.665,71
598,2019,04126,montclar,2.578,4
599,2019,56137,monterblanc,6.266,56
600,2019,77305,montereau-fault-yonne,3.666,77
625,2019,78418,montesson,5.377,78
632,2019,84080,monteux,5.8,84
636,2019,93047,montfermeil,4.93,93
645,2019,25397,montferrand-le-château,4.764,25
647,2019,38256,montferrat,6.678,38
648,2019,78420,montfort-l'amaury,7.062,78
650,2019,35188,montfort-sur-meu,4.807,35
652,2019,35189,montgermont,4.785,35
655,2019,91421,montgeron,4.39,91
686,2019,31381,montgiscard,6.707,31
687,2019,89003,montholon,5.499,89
688,2019,59414,montigny-en-ostrevent,4.691,59
689,2019,78423,montigny-le-bretonneux,5.258,78
733,2019,95424,montigny-lès-cormeilles,4.075,95
745,2019,77312,montigny-sur-loing,6.867,77
746,2019,76447,montivilliers,5.093,76
761,2019,31384,montlaur,6.653,31
762,2019,25403,montlebon,5.672,25
763,2019,91425,montlhéry,5.238,91
770,2019,95426,montlignon,6.988,95
771,2019,37156,montlouis-sur-loire,5.365,37
772,2019,01262,montluel,4.77,1
781,2019,03185,montluçon,2.886,3
812,2019,95427,montmagny,4.982,95
826,2019,51380,montmirail,6.22,51
827,2019,95428,montmorency,4.451,95
848,2019,86165,montmorillon,4.255,86
850,2019,39362,montmorot,3.639,39
852,2019,51381,montmort-lucy,6.941,51
853,2019,73171,montmélian,2.744,73
854,2019,44103,montoir-de-bretagne,4.804,44
857,2019,34172,montpellier,3.049,34
1284,2019,13055,marseille,3.643,13
2089,2019,34151,marsillargues,5.831,34
2092,2019,81156,marssac-sur-tarn,5.467,81
2093,2019,33273,martignas-sur-jalle,6.404,33
2096,2019,01237,martignat,5.681,1
2098,2019,13056,martigues,4.783,13
2111,2019,33274,martillac,6.976,33
2112,2019,85138,martinet,6.542,85
2113,2019,48092,marvejols,4.278,48
2116,2019,77280,mary-sur-marne,7.0,77
2117,2019,58160,marzy,6.337,58
2118,2019,68201,masevaux-niederbruck,4.656,68
2120,2019,15119,massiac,4.76,15
2121,2019,91377,massy,2.681,91
2209,2019,14407,mathieu,7.74,14
2210,2019,59392,maubeuge,3.225,59
2217,2019,34154,mauguio,4.668,34
2239,2019,78380,maule,6.855,78
2242,2019,78382,maurecourt,6.272,78
2244,2019,78383,maurepas,3.646,78
2263,2019,15120,mauriac,4.872,15
2264,2019,13058,maussane-les-alpilles,8.058,13
2265,2019,54357,maxéville,2.961,54
2270,2019,53147,mayenne,4.323,53
2282,2019,81163,mazamet,3.768,81
2284,2019,64373,mazères-lezons,4.345,64
2285,2019,25356,maîche,4.873,25
2286,2019,77284,meaux,3.641,77
2351,2019,74173,megève,3.556,74
2369,2019,35173,melesse,5.557,35
2372,2019,29147,mellac,5.521,29
2373,2019,77288,melun,3.111,77
2452,2019,48095,mende,4.135,48
2458,2019,91386,mennecy,4.5,91
2466,2019,74176,menthon-saint-bernard,7.6,74
2467,2019,06083,menton,2.987,6
2549,2019,95388,menucourt,4.024,95
2551,2019,41136,mer,5.054,41
2553,2019,62571,merlimont,3.542,62
2555,2019,90068,meroux-moval,6.333,90
2557,2019,80533,mers-les-bains,2.741,80
2560,2019,59400,merville,5.066,59
2561,2019,31341,merville,6.698,31
2562,2019,14409,merville-franceville-plage,3.394,14
2564,2019,17230,meschers-sur-gironde,4.803,17
2566,2019,53152,meslay-du-maine,5.725,53
2567,2019,21408,messigny-et-vantoux,5.925,21
2568,2019,69131,messimy,6.353,69
2571,2019,77292,messy,7.671,77
2578,2019,06088,nice,3.224,6
3424,2019,57508,nilvange,3.721,57
3425,2019,79191,niort,3.295,79
3459,2019,38276,nivolas-vermelle,5.348,38
3460,2019,60462,noailles,6.13,60
3461,2019,62617,noeux-les-mines,3.743,62
3462,2019,52353,nogent,4.409,52
3464,2019,28279,nogent-le-roi,5.988,28
3465,2019,28280,nogent-le-rotrou,4.043,28
3475,2019,94052,nogent-sur-marne,3.878,94
3541,2019,60463,nogent-sur-oise,3.559,60
3563,2019,10268,nogent-sur-seine,5.537,10
3571,2019,95452,nointel,7.654,95
3572,2019,85163,noirmoutier-en-l'île,4.719,85
